Conference,Team
America East,Binghamton
America East,Bryant
America East,Maine
America East,New Hampshire
America East,Njit
America East,Ualbany
America East,Umass Lowell
America East,Umbc
America East,Vermont
Atlantic 10,Davidson
Atlantic 10,Dayton
Atlantic 10,Duquesne
Atlantic 10,Fordham
Atlantic 10,George Mason
Atlantic 10,George Washington
Atlantic 10,La Salle
Atlantic 10,Loyola (Ill.)
Atlantic 10,Loyola (ill.)
Atlantic 10,Rhode Island
Atlantic 10,Richmond
Atlantic 10,Saint Joseph'S University
Atlantic 10,Saint Louis
Atlantic 10,St. Bonaventure
Atlantic 10,St. Joseph's
Atlantic 10,St. Louis
Atlantic 10,VCU
Atlantic Coast (ACC),Boston College
Atlantic Coast (ACC),California
Atlantic Coast (ACC),Clemson
Atlantic Coast (ACC),Duke
Atlantic Coast (ACC),Florida State
Atlantic Coast (ACC),Georgia Tech
Atlantic Coast (ACC),Louisville
Atlantic Coast (ACC),Miami (Fla.)
Atlantic Coast (ACC),N.c. State
Atlantic Coast (ACC),Nc State
Atlantic Coast (ACC),North Carolina
Atlantic Coast (ACC),Notre Dame
Atlantic Coast (ACC),Pittsburgh
Atlantic Coast (ACC),SMU
Atlantic Coast (ACC),Stanford
Atlantic Coast (ACC),Syracuse
Atlantic Coast (ACC),Virginia
Atlantic Coast (ACC),Virginia Tech
Atlantic Coast (ACC),Wake Forest
Atlantic Sun,Austin Peay
Atlantic Sun,Bellarmine
Atlantic Sun,Central Arkansas
Atlantic Sun,Eastern Kentucky
Atlantic Sun,Fla. Gulf Coast
Atlantic Sun,Florida Gulf Coast
Atlantic Sun,Jacksonville
Atlantic Sun,Lipscomb
Atlantic Sun,North Alabama
Atlantic Sun,North Florida
Atlantic Sun,Queens (N.C.)
Atlantic Sun,Stetson
Atlantic Sun,West Georgia
Big 12,Arizona
Big 12,Arizona State
Big 12,Baylor
Big 12,Byu
Big 12,Cincinnati
Big 12,Colorado
Big 12,Houston
Big 12,Iowa State
Big 12,Kansas
Big 12,Kansas State
Big 12,Oklahoma State
Big 12,Tcu
Big 12,Texas Tech
Big 12,UCF
Big 12,Utah
Big 12,West Virginia
Big East,Butler
Big East,Connecticut
Big East,Creighton
Big East,Depaul
Big East,Georgetown
Big East,Marquette
Big East,Providence
Big East,Seton Hall
Big East,St. John's (N.Y.)
Big East,Villanova
Big East,Xavier
Big East,Xavier (Ohio)
Big Sky,Eastern Washington
Big Sky,Idaho
Big Sky,Idaho State
Big Sky,Montana
Big Sky,Montana State
Big Sky,Northern Arizona
Big Sky,Northern Colo.
Big Sky,Northern Colorado
Big Sky,Portland St.
Big Sky,Portland State
Big Sky,Sacramento St.
Big Sky,Weber State
Big South,Charleston Southern
Big South,Gardner-webb
Big South,High Point
Big South,Longwood
Big South,Presbyterian
Big South,Radford
Big South,Unc Asheville
Big South,Unc-Asheville
Big South,Usc Upstate
Big South,Winthrop
Big West,Cal Poly
Big West,Cal St. Fullerton
Big West,CSU Bakersfield
Big West,Csun
Big West,Hawai'i
Big West,Long Beach St.
Big West,Uc Davis
Big West,Uc Irvine
Big West,Uc Riverside
Big West,Uc San Diego
Big West,Uc Santa Barbara
C-USA,Delaware
C-USA,Fiu
C-USA,Fla. International
C-USA,Jacksonville St.
C-USA,Kennesaw State
C-USA,Liberty
C-USA,Louisiana Tech
C-USA,Middle Tenn.
C-USA,Middle Tennessee
C-USA,Missouri St.
C-USA,New Mexico St.
C-USA,New Mexico State
C-USA,Sam Houston
C-USA,Texas-el Paso
C-USA,Utep
C-USA,Western Kentucky
Coastal (CAA),Campbell
Coastal (CAA),Col. Of Charleston
Coastal (CAA),Elon
Coastal (CAA),Hampton
Coastal (CAA),Hofstra
Coastal (CAA),Monmouth
Coastal (CAA),N.c. Wilmington
Coastal (CAA),North Carolina A&T
Coastal (CAA),Northeastern
Coastal (CAA),Stony Brook
Coastal (CAA),Towson
Coastal (CAA),Unc Wilmington
Coastal (CAA),William & Mary
Horizon,Cleveland State
Horizon,Detroit Mercy
Horizon,Indiana U.-Purdue U. Indianapolis
Horizon,Indianapolis
Horizon,Iu Indianapolis
Horizon,Iupui
Horizon,Milwaukee
Horizon,Northern Kentucky
Horizon,Northern Ky.
Horizon,Oakland
Horizon,Purdue Fort Wayne
Horizon,Robert Morris
Horizon,Wis Green Bay
Horizon,Wis.-Green Bay
Horizon,Wis.-green Bay
Horizon,Wisconsin Milwaukee
Horizon,Wright St.
Horizon,Wright State
Horizon,Youngstown St.
Ivy,Brown
Ivy,Columbia
Ivy,Cornell
Ivy,Dartmouth
Ivy,Harvard
Ivy,Penn
Ivy,Princeton
Ivy,Yale
Metro Atlantic (MAAC),Canisius
Metro Atlantic (MAAC),Fairfield
Metro Atlantic (MAAC),Iona
Metro Atlantic (MAAC),Manhattan
Metro Atlantic (MAAC),Marist
Metro Atlantic (MAAC),Merrimack
Metro Atlantic (MAAC),Mount St. Mary'S
Metro Atlantic (MAAC),Niagara
Metro Atlantic (MAAC),Quinnipiac
Metro Atlantic (MAAC),Rider
Metro Atlantic (MAAC),Sacred Heart
Metro Atlantic (MAAC),Siena
Metro Atlantic (MAAC),St. Peter'S
Metro Atlantic (MAAC),St. Peter's
Mid-American (MAC),Akron
Mid-American (MAC),Ball State
Mid-American (MAC),Bowling Green
Mid-American (MAC),Buffalo
Mid-American (MAC),Central Michigan
Mid-American (MAC),Eastern Michigan
Mid-American (MAC),Kent State
Mid-American (MAC),Miami (Ohio)
Mid-American (MAC),Northern Illinois
Mid-American (MAC),Ohio
Mid-American (MAC),Toledo
Mid-American (MAC),Umass Amherst
Mid-American (MAC),Western Michigan
Mid-Eastern (MEAC),Coppin State
Mid-Eastern (MEAC),Delaware State
Mid-Eastern (MEAC),Howard
Mid-Eastern (MEAC),Maryland-Eastern Shore
Mid-Eastern (MEAC),Morgan State
Mid-Eastern (MEAC),N.C. Central
Mid-Eastern (MEAC),Norfolk State
Mid-Eastern (MEAC),Sc State
Mid-Eastern (MEAC),South Carolina State
Missouri Valley (MVC),Belmont
Missouri Valley (MVC),Bradley
Missouri Valley (MVC),Drake
Missouri Valley (MVC),Evansville
Missouri Valley (MVC),Illinois Chicago
Missouri Valley (MVC),Illinois State
Missouri Valley (MVC),Illinois-Chicago
Missouri Valley (MVC),Indiana State
Missouri Valley (MVC),Murray St.
Missouri Valley (MVC),Murray State
Missouri Valley (MVC),Northern Iowa
Missouri Valley (MVC),Southern Ill.
Missouri Valley (MVC),Southern Illinois
Missouri Valley (MVC),Valparaiso
Mountain West (MWC),Air Force
Mountain West (MWC),Boise State
Mountain West (MWC),Colorado St.
Mountain West (MWC),Fresno State
Mountain West (MWC),Grand Canyon
Mountain West (MWC),Nevada
Mountain West (MWC),New Mexico
Mountain West (MWC),San Diego St.
Mountain West (MWC),San Jose St.
Mountain West (MWC),UNLV
Mountain West (MWC),Utah State
Mountain West (MWC),Wyoming
Northeast (NEC),Central Connecticut
Northeast (NEC),Chicago State
Northeast (NEC),Fdu
Northeast (NEC),Le Moyne C (NY)
Northeast (NEC),Liu
Northeast (NEC),Liu Brooklyn
Northeast (NEC),Long Island
Northeast (NEC),Mercyhurst
Northeast (NEC),New Haven
Northeast (NEC),St. Francis (pa.)
Northeast (NEC),St. Francis Brooklyn
Northeast (NEC),Stonehill
Northeast (NEC),Wagner
Ohio Valley (OVC),Eastern Illinois
Ohio Valley (OVC),Lindenwood
Ohio Valley (OVC),Little Rock
Ohio Valley (OVC),Morehead St.
Ohio Valley (OVC),Morehead State
Ohio Valley (OVC),Se Missouri
Ohio Valley (OVC),Siu Edwardsville
Ohio Valley (OVC),Southern Indiana
Ohio Valley (OVC),Tennessee St.
Ohio Valley (OVC),Tennessee Tech
Ohio Valley (OVC),Ut Martin
Ohio Valley (OVC),Western Illinois
PAC-12,Oregon State
PAC-12,Washington St.
PAC-12,Washington State
Patriot,American
Patriot,Army West Point
Patriot,Boston University
Patriot,Bucknell
Patriot,Colgate
Patriot,Holy Cross
Patriot,Lafayette
Patriot,Lehigh
Patriot,Loyola (Md.)
Patriot,Navy
Southeastern (SEC),Alabama
Southeastern (SEC),Arkansas
Southeastern (SEC),Auburn
Southeastern (SEC),Florida
Southeastern (SEC),Georgia
Southeastern (SEC),Kentucky
Southeastern (SEC),Lsu
Southeastern (SEC),Miss State
Southeastern (SEC),Missouri
Southeastern (SEC),Oklahoma
Southeastern (SEC),Ole Miss
Southeastern (SEC),South Carolina
Southeastern (SEC),Tennessee
Southeastern (SEC),Texas
Southeastern (SEC),Texas A&m
Southeastern (SEC),Texas A&M
Southeastern (SEC),Vanderbilt
Southern (SoCon),Chattanooga
Southern (SoCon),East Tenn. St.
Southern (SoCon),Etsu
Southern (SoCon),Furman
Southern (SoCon),Mercer
Southern (SoCon),Samford
Southern (SoCon),The Citadel
Southern (SoCon),Unc-Greensboro
Southern (SoCon),VMI
Southern (SoCon),Western Carolina
Southern (SoCon),Wofford
Southland (SLC),East Texas A&M
Southland (SLC),Houston Christian
Southland (SLC),Incarnate Word
Southland (SLC),Lamar
Southland (SLC),Mcneese State
Southland (SLC),New Orleans
Southland (SLC),Nicholls State
Southland (SLC),Northwestern St.
Southland (SLC),Se Louisiana
Southland (SLC),Stephen F. Austin
Southland (SLC),Texas A&M-Cc
Southland (SLC),Texas A&m-corpus Christi
Southland (SLC),Texas-rio Grande Valley
Southland (SLC),Ut-Rio Grande Valley
Southwestern (SWAC),Alabama A&M
Southwestern (SWAC),Alabama State
Southwestern (SWAC),Alcorn State
Southwestern (SWAC),Arkansas-Pine Bluff
Southwestern (SWAC),Bethune-Cookman
Southwestern (SWAC),Florida A&M
Southwestern (SWAC),Grambling
Southwestern (SWAC),Jackson State
Southwestern (SWAC),Mississippi Val.
Southwestern (SWAC),Mississippi Valley
Southwestern (SWAC),Prairie View
Southwestern (SWAC),Southern
Southwestern (SWAC),Texas Southern
Summit,Kansas City
Summit,Msu Denver
Summit,North Dakota
Summit,North Dakota State
Summit,Omaha
Summit,Oral Roberts
Summit,South Dakota
Summit,South Dakota St.
Summit,St. Thomas (minn.)
Summit,St. Thomas (Minn.)
Sun Belt,App State
Sun Belt,Arkansas State
Sun Belt,Coastal Carolina
Sun Belt,Ga. Southern
Sun Belt,Ga. State
Sun Belt,James Madison
Sun Belt,Louisiana
Sun Belt,Marshall
Sun Belt,South Alabama
Sun Belt,Southern Miss.
Sun Belt,Texas State
Sun Belt,Troy
Sun Belt,Ulm
Western (WAC),Abilene Christian
Western (WAC),Cbu
Western (WAC),Southern Utah
Western (WAC),Tarleton State
Western (WAC),Texas-arlington
Western (WAC),Ut-Arlington
Western (WAC),Utah Tech
Western (WAC),Utah Valley
